iter	RMSE
0	0.9989575287
1	0.9938940126
2	0.9889399721
3	0.9840693233
4	0.9792145668
5	0.9744162272
6	0.9699618289
7	0.9655089444
8	0.961083226
9	0.9567553968
10	0.9525414472
11	0.9484462651
12	0.9446479854
13	0.940742383
14	0.9369020468
15	0.9332576393
16	0.9295279621
17	0.9259751435
18	0.9225662421
19	0.9191325
20	0.916003551
21	0.9126652914
22	0.9096439926
23	0.9066792363
24	0.9038154355
25	0.9009533867
26	0.8980462527
27	0.8952683446
28	0.8925536587
29	0.8902281628
30	0.887612388
31	0.8849302595
32	0.8822849819
33	0.8798863353
34	0.8775390942
35	0.8754254813
36	0.8731283919
37	0.8711403957
38	0.8686915037
39	0.8665707995
40	0.8647149482
41	0.8628016885
42	0.8607379523
43	0.8588533154
44	0.8569648275
45	0.8550932478
46	0.8532873898
47	0.8515621831
48	0.8500864533
49	0.8484131292
50	0.8467116121
51	0.8451866789
52	0.8438548656
53	0.8422411854
54	0.8407246744
55	0.8391548512
56	0.8378176524
57	0.8362530948
58	0.8348015185
59	0.8336019747
60	0.8322261433
61	0.8308179069
62	0.8295348799
63	0.8282880475
64	0.8271361225
65	0.8258851045
66	0.8246694241
67	0.823533269
68	0.822363498
69	0.8211266823
70	0.8199942826
71	0.8188996662
72	0.8177154771
73	0.8165404317
74	0.815337383
75	0.8145237258
76	0.8134866585
77	0.8122834522
78	0.8112990885
79	0.8103279991
80	0.8093940586
81	0.8083248294
82	0.8074700423
83	0.8064557419
84	0.8054258837
85	0.8044609416
86	0.8036273172
87	0.8027155711
88	0.8016423415
89	0.800739768
90	0.7998709832
91	0.798954486
92	0.7980664004
93	0.7972544429
94	0.7963842641
95	0.7956025035
96	0.7947081923
97	0.7938094938
98	0.793099277
99	0.7923930241
100	0.7916168275
101	0.7907859867
102	0.7900770055
103	0.789300444
104	0.7885549397
105	0.7878552435
106	0.787009592
107	0.7863066949
108	0.7856866888
109	0.7849223266
110	0.7841563297
111	0.7835473118
112	0.7828332088
113	0.7822316667
114	0.7815049367
115	0.7806275884
116	0.7801376051
117	0.7795732655
118	0.7788772814
119	0.7781552941
120	0.7775947026
121	0.7768697689
122	0.7761937767
123	0.7756503111
124	0.7750416518
125	0.7745474221
126	0.7739087256
127	0.7733093313
128	0.7727175599
129	0.7720790985
130	0.7714369459
131	0.7707975204
132	0.7701876569
133	0.7697087437
134	0.7690682503
135	0.7685567991
136	0.7680087669
137	0.7673522565
138	0.7667579147
139	0.7663022474
140	0.7657815416
141	0.7652530576
142	0.7648499259
143	0.7643553293
144	0.7639038673
145	0.7634442705
146	0.762736833
147	0.7621583541
148	0.7617555185
149	0.7611789701
150	0.7607075466
151	0.7601696203
152	0.7596879631
153	0.7591658414
154	0.7587505357
155	0.7582750967
156	0.757659666
157	0.7571559215
158	0.7566752051
159	0.7562399049
160	0.7557296008
161	0.755297189
162	0.754832891
163	0.754471574
164	0.7539305368
165	0.7534821207
166	0.7530334191
167	0.7525925001
168	0.751968258
169	0.7516533201
170	0.7512522835
171	0.7508179243
172	0.7503990115
173	0.7499940227
174	0.7497091928
175	0.7492482141
176	0.7487508766
177	0.7482186224
178	0.7477513252
179	0.7473188744
180	0.7468894636
181	0.7462967822
182	0.7458374907
183	0.7454956327
184	0.7451310943
185	0.7447871439
186	0.7443786256
187	0.7439007905
188	0.7433786801
189	0.7429252719
190	0.7425524533
191	0.7420795355
192	0.7417350393
193	0.741421114
194	0.7410114878
195	0.740674784
196	0.7403863166
197	0.7400666611
198	0.739673761
199	0.7393292205
200	0.7389795213
201	0.7383937734
202	0.738026632
203	0.7376519746
204	0.7373023481
205	0.7369410446
206	0.7365579395
207	0.736068283
208	0.7357577502
209	0.7354340682
210	0.7350613997
211	0.734738526
212	0.7344266834
213	0.7340196425
214	0.7336515802
215	0.7333487052
216	0.7329666938
217	0.7325802142
218	0.7322871017
219	0.7319893647
220	0.7316365073
221	0.7313324566
222	0.7309141389
223	0.7305906115
224	0.7302717396
225	0.7299679197
226	0.7296010368
227	0.7292824014
228	0.7289083063
229	0.7286162064
230	0.7281163582
231	0.7277559967
232	0.7274920693
233	0.7271321751
234	0.7268446638
235	0.7264245853
236	0.7260449238
237	0.7257283981
238	0.7254130691
239	0.7250732901
240	0.7247437094
241	0.7242822983
242	0.7239061098
243	0.7234262992
244	0.7231485892
245	0.7227879139
246	0.7225170082
247	0.7221308418
248	0.7218732269
249	0.7215285628
250	0.7211413323
251	0.7208228747
252	0.7205645532
253	0.7203078787
254	0.720026726
255	0.7197353715
256	0.7194344733
257	0.7191231492
258	0.7187873592
259	0.7184615234
260	0.7181538129
261	0.7178219979
262	0.7175935604
263	0.7172081804
264	0.7169276367
265	0.7165736389
266	0.7163237702
267	0.7159786876
268	0.7157161704
269	0.7153039874
270	0.7149536241
271	0.7145781415
272	0.7143508895
273	0.7140470472
274	0.713761524
275	0.7135325522
276	0.713162656
277	0.7128754987
278	0.7126682183
279	0.7123230591
280	0.7120066556
281	0.7117013722
282	0.7113198398
283	0.7111867775
284	0.7109389824
285	0.7107113513
286	0.7103935349
287	0.7100403272
288	0.7097501037
289	0.7094015998
290	0.7090554301
291	0.7088515703
292	0.7085654141
293	0.7082932759
294	0.7079902352
295	0.7077580226
296	0.707489871
297	0.7071675588
298	0.7068284024
299	0.7065756464
300	0.7063053455
301	0.7060818752
302	0.7058591541
303	0.7055783529
304	0.7052340455
305	0.7048915277
306	0.7047150115
307	0.7044829915
308	0.7042417487
309	0.7040328501
310	0.7038160231
311	0.7035327705
312	0.7033273019
313	0.7031188808
314	0.7028882574
315	0.7026452552
316	0.7024251407
317	0.7021651202
318	0.7019821332
319	0.7017239771
320	0.701536135
321	0.701177941
322	0.700939108
323	0.7006981834
324	0.7004166361
325	0.7002948965
326	0.6999882218
327	0.6998553034
328	0.6995206454
329	0.6992874078
330	0.6991187818
331	0.6989108818
332	0.6987195236
333	0.6984343288
334	0.6982238558
335	0.6979524788
336	0.697741571
337	0.6973857008
338	0.6971011873
339	0.6968679188
340	0.6966793809
341	0.6964396907
342	0.6962300447
343	0.696035507
344	0.6959054521
345	0.6957354099
346	0.6955183803
347	0.6952225141
348	0.6950782527
349	0.694879171
350	0.6945981987
351	0.6943043746
352	0.6939948836
353	0.6937632646
354	0.6934913649
355	0.6933087318
356	0.6929240082
357	0.6927146729
358	0.6924037178
359	0.6920508932
360	0.691802052
361	0.6915796978
362	0.6913407838
363	0.6910761571
364	0.6908111653
365	0.6905615692
366	0.6903369045
367	0.6900430978
368	0.68986636
369	0.689588036
370	0.6892979574
371	0.6890004172
372	0.6887819709
373	0.6886270325
374	0.6884091242
375	0.6882288203
376	0.687888283
377	0.6877251888
378	0.6874836208
379	0.6872066389
380	0.686940197
381	0.6866113842
382	0.686334658
383	0.6861027813
384	0.6858985751
385	0.6857145745
386	0.6854820003
387	0.6851985789
388	0.6849550616
389	0.6848155944
390	0.6845880081
391	0.684435165
392	0.6842375687
393	0.683962995
394	0.6836056869
395	0.6834268186
396	0.6832116157
397	0.6830643818
398	0.6829284016
399	0.6826146041
400	0.6823526844
401	0.6820302326
402	0.6818894584
403	0.6815799977
404	0.6813299289
405	0.6811299451
406	0.6808526775
407	0.6805225795
408	0.6803458616
409	0.6802545221
410	0.6800500873
411	0.6799139274
412	0.6796743107
413	0.6794909871
414	0.6792315251
415	0.6790540311
416	0.6788408564
417	0.6785411685
418	0.6783398154
419	0.6780276691
420	0.677853764
421	0.6775982119
422	0.6774508361
423	0.6771862294
424	0.6769974423
425	0.6768192314
426	0.6766156728
427	0.6764316787
428	0.6762444081
429	0.6760710858
430	0.6759410121
431	0.6757427812
432	0.6755647982
433	0.6753103837
434	0.6750760428
435	0.674795179
436	0.6746023042
437	0.6744082381
438	0.6741997198
439	0.6739748165
440	0.6738260825
441	0.6736305843
442	0.6734197955
443	0.6731317607
444	0.6729077258
445	0.6727151926
446	0.6723837605
447	0.6722706947
448	0.6720357567
449	0.6718750513
450	0.6717375733
451	0.6715636574
452	0.6714016853
453	0.6711995477
