cluster,n,marginal,mondrian
0,153,0.9150326797385621,0.8823529411764706
1,2245,0.8899777282850779,0.8930957683741648
2,480,0.9020833333333333,0.91875
3,1340,0.9171641791044776,0.9119402985074627
4,458,0.87117903930131,0.8908296943231441
5,509,0.8860510805500982,0.9017681728880157
6,491,0.9022403258655805,0.9022403258655805
7,216,0.9259259259259259,0.9166666666666666
8,471,0.910828025477707,0.9087048832271762
9,398,0.8894472361809045,0.9020100502512562
10,2174,0.8960441582336707,0.8960441582336707
11,422,0.9170616113744076,0.9265402843601895
