target,n_actives,n_inactives,n_total,active_frac,seq_len,EF1%,EF5%,BEDROC,AUC,EF1_2Dtani,AUC_2Dtani,EF1_random,EF1_keep50,recall_keep50
ADRB2,17,50000,50017,0.0003398844392906412,284,0.0,0.0,0.0182,0.4753,35.294,0.6354,0.294,0.0,0.353
ALDH1,7168,50000,57168,0.1253848306745032,494,1.144,1.32,0.1693,0.5866,6.041,0.7396,0.995,1.549,0.495
ESR1_ago,13,5583,5596,0.002323087919942816,233,7.692,3.077,0.177,0.6631,0.0,0.6229,0.0,0.0,0.615
ESR1_ant,102,4948,5050,0.0201980198019802,245,2.941,1.765,0.1255,0.6808,26.471,0.7169,1.225,0.0,0.588
FEN1,369,50000,50369,0.0073259346026325715,283,0.542,0.488,0.0416,0.4931,44.715,0.8492,0.989,0.0,0.415
GBA,166,50000,50166,0.0033090140732767214,497,0.602,0.964,0.0869,0.6144,54.819,0.8338,1.114,0.0,0.494
IDH1,39,50000,50039,0.0007793920741821379,367,7.692,4.615,0.1915,0.7369,38.462,0.7047,0.641,5.882,0.436
KAT2A,194,50000,50194,0.0038650037853129857,164,1.031,0.412,0.0466,0.4466,26.804,0.6582,1.005,0.0,0.464
MAPK1,308,50000,50308,0.006122286713842729,333,0.974,1.104,0.0534,0.5935,10.714,0.7018,0.925,1.515,0.643
MTORC1,97,32972,33069,0.002933260757809429,202,0.0,1.443,0.0649,0.4893,21.649,0.7325,0.825,2.5,0.412
OPRK1,24,50000,50024,0.00047976971053894133,281,0.0,1.667,0.0706,0.7742,66.667,0.8939,0.417,0.0,0.708
PKM2,546,50000,50546,0.010802041704585921,518,0.733,0.769,0.0507,0.5834,36.081,0.8307,0.971,0.0,0.527
PPARG,27,5211,5238,0.005154639175257732,272,0.0,1.481,0.0675,0.686,37.037,0.7482,0.926,0.0,0.667
TP53,79,4168,4247,0.018601365669884625,196,1.266,0.759,0.0471,0.5382,37.975,0.7443,0.823,1.786,0.709
VDR,884,50000,50884,0.017372848046537222,253,1.584,0.792,0.0496,0.4104,31.9,0.7914,0.995,0.909,0.498
