rank,cid,label,score
1,14746360,0,8.205405405405404
2,50109186,0,7.994402515723271
3,22416726,0,7.542473684210526
4,4259012,0,7.407706093189964
5,14743112,1,7.407706093189964
6,24781511,0,7.407706093189964
7,26751227,0,7.407706093189964
8,24780303,0,7.407706093189964
9,14719236,0,7.407706093189964
10,844039,1,7.407706093189964
11,862317,0,7.407706093189964
12,24781583,1,7.407706093189964
13,24822695,0,7.407706093189964
14,17511876,0,7.407706093189964
15,24818672,0,7.407706093189964
16,14721221,0,7.407706093189964
17,17387259,0,7.407706093189964
18,24822319,0,7.407706093189964
19,842295,0,7.364934129965175
20,14720806,0,7.357954545454546
21,26751207,0,7.357954545454546
22,24782959,0,7.357954545454546
23,24784267,0,7.357954545454546
24,17402767,0,7.357954545454546
25,14722347,0,7.276938775510204
26,14728813,0,7.276938775510204
27,26753866,0,7.276938775510204
28,4247848,0,7.276938775510204
29,26751531,0,7.24086036671368
30,26753896,0,7.24086036671368
31,24800119,0,7.24086036671368
32,14721217,0,7.24086036671368
33,849524,1,7.24086036671368
34,17506116,1,7.24086036671368
35,4238446,0,7.24086036671368
36,17387148,0,7.24086036671368
37,24800243,0,7.24086036671368
38,24800507,0,7.24086036671368
39,26751219,0,7.24086036671368
40,17505806,0,7.24086036671368
41,11113673,0,7.24086036671368
42,4238760,0,7.24086036671368
43,26750927,0,7.24086036671368
44,24807999,0,7.24086036671368
45,26751735,0,7.24086036671368
46,14723333,1,7.24086036671368
47,24808150,0,7.24086036671368
48,26753876,0,7.24086036671368
49,22413512,0,7.24086036671368
50,14732208,0,7.24086036671368
51,24780291,0,7.24086036671368
52,845018,0,7.24086036671368
53,17412353,0,7.24086036671368
54,7968720,0,7.24086036671368
55,850867,1,7.24086036671368
56,26751379,0,7.24086036671368
57,24781961,0,7.24086036671368
58,50104985,0,7.24086036671368
59,14728690,0,7.24086036671368
60,14742600,0,7.24086036671368
61,14745865,0,7.24086036671368
62,24813726,0,7.24086036671368
63,22404833,0,7.24086036671368
64,24841327,0,7.24086036671368
65,29215411,0,7.24086036671368
66,851864,0,7.24086036671368
67,14739859,0,7.24086036671368
68,17388590,0,7.24086036671368
69,29215242,0,7.24086036671368
70,14741193,0,7.24086036671368
71,4255480,0,7.24086036671368
72,22410558,0,7.24086036671368
73,844921,1,7.24086036671368
74,24806049,0,7.24086036671368
75,851515,0,7.24086036671368
76,24798109,0,7.24086036671368
77,11114264,0,7.24086036671368
78,14721942,0,7.24086036671368
79,17511455,0,7.24086036671368
80,4242207,0,7.24086036671368
81,848696,0,7.24086036671368
82,24802932,1,7.24086036671368
83,24796157,0,7.24086036671368
84,4254800,0,7.24086036671368
85,22406846,0,7.24086036671368
86,24819364,0,7.24086036671368
87,26753891,0,7.24086036671368
88,14741588,1,7.24086036671368
89,4257745,0,7.24086036671368
90,857462,0,7.24086036671368
91,24786575,0,7.24086036671368
92,14742661,1,7.24086036671368
93,26753858,0,7.24086036671368
94,26751331,0,7.24086036671368
95,26753848,0,7.24086036671368
96,26751208,0,7.24086036671368
97,14727967,0,7.24086036671368
98,26751196,0,7.24086036671368
99,3713714,1,7.24086036671368
100,26751354,0,7.24086036671368
101,22402716,0,7.24086036671368
102,11112990,0,7.24086036671368
103,26753917,0,7.24086036671368
104,17387037,0,7.24086036671368
105,852910,0,7.24086036671368
106,24809853,0,7.24086036671368
107,24817205,0,7.24086036671368
108,14721142,0,7.24086036671368
109,24829453,0,7.24086036671368
110,50104427,0,7.24086036671368
111,24836083,0,7.24086036671368
112,865264,1,7.24086036671368
113,24781503,0,7.24086036671368
114,26750929,0,7.24086036671368
115,17408540,0,7.24086036671368
116,24801273,0,7.24086036671368
117,24835104,0,7.24086036671368
118,24808188,0,7.24086036671368
119,24803596,0,7.24086036671368
120,24797787,1,7.24086036671368
121,851822,0,7.24086036671368
122,24708101,0,7.24086036671368
123,24793336,0,7.24086036671368
124,24823416,0,7.24086036671368
125,4251083,0,7.24086036671368
126,24833133,0,7.24086036671368
127,14744319,0,7.24086036671368
128,24786991,0,7.24086036671368
129,16953032,0,7.24086036671368
130,24813378,1,7.24086036671368
131,26751268,0,7.24086036671368
132,26750997,0,7.24086036671368
133,851018,0,7.24086036671368
134,14744734,0,7.24086036671368
135,4265141,0,7.24086036671368
136,24799472,0,7.24086036671368
137,22415153,0,7.24086036671368
138,17387633,0,7.24086036671368
139,24780624,0,7.24086036671368
140,24808079,0,7.24086036671368
141,852054,1,7.24086036671368
142,22405894,0,7.24086036671368
143,26747995,0,7.24086036671368
144,7966494,0,7.24086036671368
145,863310,0,7.24086036671368
146,24804311,0,7.24086036671368
147,26751201,0,7.24086036671368
148,3712836,0,7.24086036671368
149,842969,1,7.24086036671368
150,26751953,0,7.24086036671368
151,4255690,1,7.24086036671368
152,17516839,0,7.24086036671368
153,857940,1,7.24086036671368
154,14741061,0,7.24086036671368
155,853244,0,7.24086036671368
156,865498,0,7.24086036671368
157,4255133,1,7.24086036671368
158,26751272,0,7.24086036671368
159,17512272,0,7.24086036671368
160,24786324,1,7.24086036671368
161,22404884,1,7.24086036671368
162,843583,1,7.24086036671368
163,26751064,0,7.24086036671368
164,24827176,0,7.24086036671368
165,26751244,0,7.24086036671368
166,26751018,0,7.24086036671368
167,24804712,0,7.24086036671368
168,14745217,0,7.24086036671368
169,17407565,0,7.24086036671368
170,24708119,0,7.24086036671368
171,17406687,0,7.24086036671368
172,50109661,0,7.24086036671368
173,17386936,0,7.24086036671368
174,14731359,0,7.24086036671368
175,851624,1,7.24086036671368
176,24808954,0,7.24086036671368
177,24814518,0,7.24086036671368
178,14721093,0,7.24086036671368
179,26751391,0,7.24086036671368
180,26751206,0,7.24086036671368
181,24800216,0,7.24086036671368
182,848057,0,7.24086036671368
183,17387671,0,7.24086036671368
184,14743018,0,7.24086036671368
185,24783316,0,7.24086036671368
186,17516533,0,7.24086036671368
187,14735035,0,7.24086036671368
188,24800211,0,7.24086036671368
189,26751218,0,7.24086036671368
190,24794463,0,7.24086036671368
191,16953340,0,7.24086036671368
192,4245463,0,7.24086036671368
193,17508817,0,7.24086036671368
194,14734452,0,7.24086036671368
195,17409125,0,7.24086036671368
196,853050,1,7.24086036671368
197,7971573,0,7.24086036671368
198,26751371,0,7.24086036671368
199,22409947,1,7.24086036671368
200,7968565,0,7.24086036671368
201,26756228,1,7.24086036671368
202,24812079,0,7.24086036671368
203,17515878,0,7.24086036671368
204,17402768,0,7.24086036671368
205,24784212,0,7.24086036671368
206,848356,0,7.24086036671368
207,24786574,0,7.24086036671368
208,14746469,0,7.24086036671368
209,14731732,0,7.24086036671368
210,4257762,0,7.197903225806452
211,847685,1,7.197903225806452
212,4252151,1,7.197903225806452
213,14729211,0,7.197903225806452
214,22400529,0,7.197903225806452
215,24791643,0,7.197903225806452
216,24822866,0,7.197903225806452
217,16953175,1,7.197903225806452
218,17509187,0,7.197903225806452
219,26748049,0,7.197903225806452
220,22402227,0,7.197903225806452
221,14742298,1,7.197903225806452
222,4240180,0,7.197903225806452
223,24794964,0,7.197903225806452
224,24816289,0,7.197903225806452
225,862897,0,7.197903225806452
226,24804685,0,7.197903225806452
227,24841507,0,7.197903225806452
228,17513059,0,7.197903225806452
229,24799923,0,7.197903225806452
230,24828721,0,7.197903225806452
231,24781408,0,7.197903225806452
232,17508263,0,7.197903225806452
233,4243108,0,7.197903225806452
234,24800734,0,7.197903225806452
235,24806575,0,7.197903225806452
236,849333,0,7.197903225806452
237,17514505,0,7.197903225806452
238,24806202,0,7.197903225806452
239,14724896,0,7.197903225806452
240,14721158,0,7.180000000000001
241,24799252,0,7.170588235294117
242,17387784,0,7.170588235294117
243,26751367,0,7.170588235294117
244,852421,0,7.170588235294117
245,26748978,0,7.170588235294117
246,853041,0,7.170588235294117
247,26753878,0,7.170588235294117
248,3714912,0,7.170588235294117
249,4242771,0,7.170588235294117
250,24825123,0,7.170588235294117
251,24800525,1,7.170588235294117
252,24786409,0,7.170588235294117
253,853534,1,7.170588235294117
254,26751295,0,7.170588235294117
255,852316,0,7.170588235294117
256,24798787,0,7.170588235294117
257,24811600,1,7.170588235294117
258,24808326,0,7.170588235294117
259,26751362,0,7.170588235294117
260,17512294,0,7.170588235294117
261,851440,1,7.170588235294117
262,842309,0,7.170588235294117
263,846074,0,7.170588235294117
264,14744641,1,7.170588235294117
265,26751050,0,7.170588235294117
266,24819150,0,7.170588235294117
267,22402185,0,7.170588235294117
268,14742821,0,7.170588235294117
269,22404396,0,7.170588235294117
270,24791893,0,7.170588235294117
271,11112859,0,7.170588235294117
272,24799020,0,7.170588235294117
273,851059,0,7.170588235294117
274,864858,1,7.170588235294117
275,24787425,0,7.170588235294117
276,3714856,0,6.988153153153154
277,24798374,0,6.988153153153154
278,26756336,0,6.988153153153154
279,850316,0,6.988153153153154
280,849786,1,6.988153153153154
281,4241926,0,6.988153153153154
282,17407801,0,6.988153153153154
283,24798328,0,6.988153153153154
284,17508674,0,6.988153153153154
285,24831529,0,6.988153153153154
286,4240099,0,6.988153153153154
287,848276,0,6.988153153153154
288,26753912,0,6.988153153153154
289,24780991,0,6.988153153153154
290,24810534,0,6.988153153153154
291,862593,0,6.988153153153154
292,24806149,0,6.988153153153154
293,24813852,0,6.988153153153154
294,17509596,1,6.988153153153154
295,853325,1,6.988153153153154
296,24833566,0,6.988153153153154
297,17407767,0,6.988153153153154
298,14732236,0,6.988153153153154
299,11112995,0,6.988153153153154
300,14728904,0,6.988153153153154
301,24798399,0,6.988153153153154
