rank,cid,label,score
1,144213902,0,8.62877049180328
2,144204458,0,8.62877049180328
3,144205757,0,8.489583333333334
4,144210532,0,8.489583333333334
5,144206187,0,8.489583333333334
6,144212478,0,8.489583333333334
7,144206601,0,8.489583333333334
8,144206547,0,8.383892617449662
9,144206629,0,8.383892617449662
10,144206902,0,8.383892617449662
11,144212732,0,8.383892617449662
12,144205240,0,8.383892617449662
13,144210545,0,8.374583333333332
14,144206022,0,8.351197916666669
15,144206920,0,8.351197916666669
16,144204734,0,8.351197916666669
17,144210543,0,8.351197916666669
18,144210765,0,8.351197916666669
19,144213826,0,8.351197916666669
20,144204791,0,8.351197916666669
21,144204749,0,8.351197916666669
22,144208903,0,8.351197916666669
23,144205241,0,8.351197916666669
24,144213499,0,8.351197916666669
25,144210560,0,8.351197916666669
26,144206289,0,8.347750000000001
27,144206666,0,8.347750000000001
28,144205574,0,8.347750000000001
29,144204256,0,8.347750000000001
30,144204249,0,8.347750000000001
31,144206813,0,8.347750000000001
32,144206563,0,8.347750000000001
33,144206683,0,8.347750000000001
34,144206452,0,8.347750000000001
35,144204372,0,8.347750000000001
36,144206881,0,8.347750000000001
37,144206039,0,8.347750000000001
38,144210949,0,8.347750000000001
39,144206814,0,8.347750000000001
40,144204688,0,8.22235294117647
41,144206681,0,8.22235294117647
42,144207158,0,8.22235294117647
43,144207048,0,8.22235294117647
44,144210577,0,8.22235294117647
45,144206553,0,8.205405405405404
46,144206540,0,8.205405405405404
47,144213751,0,8.205405405405404
48,144207066,0,8.205405405405404
49,144210578,0,8.205405405405404
50,144206564,1,8.205405405405404
51,144204277,0,8.205405405405404
52,144210546,0,8.154921874999998
53,144204902,0,8.154921874999998
54,144210576,0,8.154921874999998
55,144206753,0,8.154921874999998
56,144204183,0,8.154921874999998
57,144212491,0,8.154921874999998
58,144204964,0,8.154921874999998
59,144206142,0,8.154921874999998
60,144206842,0,8.154921874999998
61,144210569,0,8.144583333333332
62,144205031,0,8.144583333333332
63,144206227,0,8.144583333333332
64,144210531,0,8.144583333333332
65,144205066,0,8.10269841269841
66,144210548,0,8.10269841269841
67,144206857,0,8.10269841269841
68,144210778,0,8.10269841269841
69,144205420,0,8.10269841269841
70,144210583,0,8.10269841269841
71,144206181,0,8.10269841269841
72,144209025,0,8.10269841269841
73,144204986,0,8.10269841269841
74,144204320,0,8.10269841269841
75,144213132,0,8.10269841269841
76,144204998,0,8.10269841269841
77,144210557,0,8.102098214285716
78,144207512,0,8.102098214285716
79,144204426,0,8.102098214285716
80,144203731,0,8.102098214285716
81,144210567,0,8.102098214285716
82,144204967,0,8.102098214285716
83,144204420,0,8.102098214285716
84,144204446,0,8.102098214285716
85,144205238,0,8.102098214285716
86,144205251,0,8.102098214285716
87,144204180,0,8.102098214285716
88,144206041,0,8.102098214285716
89,144210789,0,8.102098214285716
90,144204949,0,8.102098214285716
91,144206117,0,8.102098214285716
92,144206118,0,8.102098214285716
93,144204992,0,8.102098214285716
94,144206694,0,8.102098214285716
95,144207165,0,8.102098214285716
96,144205032,0,8.102098214285716
97,144208993,0,8.102098214285716
98,144205783,0,8.102098214285716
99,144213331,0,8.102098214285716
100,144205118,0,8.102098214285716
101,144206971,0,8.102098214285716
102,144206968,0,8.102098214285716
103,144210536,0,8.102098214285716
104,144203605,0,8.102098214285716
105,144212605,0,8.102098214285716
106,144206958,0,8.102098214285716
107,144204361,0,8.102098214285716
108,144213865,0,8.102098214285716
109,144206670,0,8.102098214285716
110,144212681,0,8.102098214285716
111,144206676,0,8.102098214285716
112,144207147,0,8.102098214285716
113,144206505,0,8.102098214285716
114,144212690,0,8.102098214285716
115,144206482,0,8.102098214285716
116,144206481,0,8.102098214285716
117,144209716,0,8.102098214285716
118,144205133,0,8.102098214285716
119,144206581,0,8.102098214285716
120,144211732,0,8.102098214285716
121,144210755,0,8.102098214285716
122,144206195,0,8.004198338634392
123,144205275,0,7.999314138259168
124,144206561,0,7.994402515723271
125,144210582,0,7.994402515723271
126,144206919,1,7.994402515723271
127,144204162,0,7.994402515723271
128,144204238,0,7.994402515723271
129,144210524,0,7.994402515723271
130,144206244,0,7.994402515723271
