rank,cid,label,score
1,144213902,0,8.95071794871795
2,144206187,0,8.95071794871795
3,144204458,0,8.95071794871795
4,144205757,0,8.95071794871795
5,144206902,0,8.760833333333332
6,144206629,0,8.760833333333332
7,144213499,0,8.62877049180328
8,144210543,0,8.62877049180328
9,144212732,0,8.62877049180328
10,144206547,0,8.62877049180328
11,144204734,0,8.62877049180328
12,144204791,0,8.62877049180328
13,144204749,0,8.62877049180328
14,144210949,0,8.585172413793105
15,144205803,0,8.522908545433499
16,144212478,0,8.492994109920664
17,144206601,0,8.492994109920664
18,144206563,0,8.489583333333334
19,144206813,1,8.489583333333334
20,144213960,0,8.489583333333334
21,144206920,0,8.489583333333334
22,144205785,0,8.489583333333334
23,144206881,0,8.489583333333334
24,144204372,0,8.489583333333334
25,144212744,0,8.489583333333334
26,144206666,0,8.489583333333334
27,144205574,0,8.489583333333334
28,144206753,0,8.489583333333334
29,144204698,0,8.489583333333334
30,144205146,0,8.489583333333334
31,144206142,0,8.489583333333334
32,144210070,0,8.489583333333334
33,144204875,0,8.489583333333334
34,144204902,0,8.489583333333334
35,144212491,0,8.489583333333334
36,144210731,0,8.489583333333334
37,144210546,0,8.489583333333334
38,144206814,1,8.489583333333334
39,144210576,0,8.489583333333334
40,144207158,0,8.489583333333334
41,144205788,0,8.383892617449662
42,144204361,0,8.383892617449662
43,144209716,0,8.383892617449662
44,144204320,0,8.383892617449662
45,144204162,0,8.383892617449662
46,144210778,0,8.383892617449662
47,144211141,1,8.383892617449662
48,144210583,0,8.383892617449662
49,144207737,0,8.383892617449662
50,144204986,0,8.383892617449662
51,144210548,0,8.383892617449662
52,144204998,0,8.383892617449662
53,144206117,0,8.383892617449662
54,144206857,0,8.374583333333332
55,144206676,0,8.374583333333332
56,144205238,0,8.374583333333332
57,144208410,0,8.374583333333332
58,144203910,0,8.374583333333332
59,144206750,0,8.374583333333332
60,144206718,0,8.374583333333332
61,144205873,0,8.374583333333332
62,144211921,0,8.374583333333332
63,144205783,0,8.351197916666669
64,144204992,0,8.351197916666669
65,144212641,0,8.351197916666669
66,144206065,0,8.351197916666669
67,144204946,0,8.351197916666669
68,144210567,0,8.351197916666669
69,144204180,0,8.351197916666669
70,144203605,0,8.351197916666669
71,144210524,0,8.351197916666669
72,144206917,0,8.351197916666669
73,144206968,0,8.351197916666669
74,144206561,0,8.351197916666669
75,144204127,0,8.351197916666669
76,144204359,0,8.351197916666669
77,144205157,0,8.351197916666669
78,144207165,0,8.351197916666669
79,144205133,0,8.351197916666669
80,144210584,0,8.351197916666669
81,144210557,0,8.351197916666669
82,144205420,0,8.351197916666669
83,144207147,0,8.351197916666669
84,144206505,0,8.351197916666669
85,144210783,0,8.351197916666669
86,144204446,0,8.351197916666669
87,144204699,0,8.351197916666669
88,144212681,0,8.351197916666669
89,144208460,1,8.351197916666669
90,144206438,0,8.351197916666669
91,144205996,0,8.351197916666669
92,144203993,1,8.351197916666669
93,144206221,0,8.347750000000001
94,144205200,0,8.347750000000001
95,144206926,0,8.347750000000001
96,144204996,0,8.347750000000001
97,144206979,0,8.347750000000001
98,144203994,0,8.347750000000001
99,144207167,0,8.347750000000001
100,144210744,0,8.347750000000001
101,144212458,0,8.347750000000001
102,144213764,0,8.347750000000001
103,144206167,0,8.347750000000001
104,144204514,0,8.347750000000001
105,144206163,0,8.347750000000001
106,144205876,0,8.347750000000001
107,144207143,0,8.347750000000001
108,144204476,0,8.347750000000001
109,144205997,0,8.347750000000001
110,144212469,0,8.347750000000001
111,144206712,0,8.347750000000001
112,144206713,0,8.347750000000001
113,144206708,0,8.347750000000001
114,144206754,0,8.347750000000001
115,144206502,0,8.347750000000001
116,144207159,0,8.275048332936777
117,144207116,0,8.22235294117647
118,144208573,0,8.22235294117647
119,144204424,0,8.22235294117647
120,144206355,0,8.22235294117647
121,144206922,0,8.22235294117647
122,144205560,0,8.22235294117647
123,144206437,0,8.205405405405404
124,144210771,0,8.205405405405404
125,144205989,0,8.205405405405404
126,144205667,0,8.205405405405404
127,144206185,0,8.205405405405404
128,144204835,0,8.205405405405404
129,144210573,0,8.205405405405404
130,144206598,0,8.205405405405404
131,144206652,0,8.205405405405404
132,144204091,0,8.205405405405404
133,144204250,0,8.205405405405404
134,144210523,0,8.205405405405404
135,144207280,0,8.205405405405404
136,144205297,1,8.205405405405404
137,144206308,0,8.205405405405404
138,144213258,0,8.154921874999998
139,144205990,0,8.154921874999998
140,144208704,0,8.154921874999998
141,144204968,0,8.154921874999998
142,144208884,0,8.154921874999998
143,144204763,0,8.154921874999998
144,144212181,0,8.154921874999998
145,144207887,0,8.154921874999998
146,144213722,0,8.154921874999998
147,144205045,0,8.154921874999998
148,144206086,0,8.154921874999998
149,144203569,0,8.154921874999998
150,144204615,0,8.154921874999998
151,144213061,0,8.154921874999998
152,144204360,0,8.154921874999998
153,144211327,0,8.154921874999998
154,144203907,0,8.154921874999998
155,144210768,0,8.154921874999998
156,144210764,0,8.154921874999998
157,144209467,0,8.154921874999998
158,144204268,0,8.154921874999998
159,144206918,0,8.154921874999998
160,144213947,0,8.154921874999998
161,144206974,0,8.154921874999998
162,144206271,0,8.154921874999998
163,144203958,0,8.154921874999998
164,144210780,0,8.154921874999998
165,144206997,0,8.154921874999998
166,144207044,0,8.154921874999998
167,144213898,0,8.154921874999998
168,144204296,0,8.154921874999998
169,144204430,0,8.154921874999998
170,144207135,0,8.154921874999998
171,144206083,0,8.15408190603736
172,144204362,0,8.144583333333332
173,144205084,0,8.144583333333332
174,144203570,0,8.144583333333332
175,144205822,0,8.144583333333332
176,144213832,0,8.144583333333332
177,144207062,0,8.144583333333332
178,144206107,0,8.144583333333332
179,144210541,0,8.144583333333332
180,144206615,0,8.114090909090908
181,144205578,0,8.114090909090908
182,144205559,0,8.114090909090908
183,144204227,1,8.114090909090908
184,144206338,0,8.114090909090908
185,144205059,0,8.114090909090908
186,144206075,1,8.114090909090908
187,144207029,0,8.114090909090908
188,144206709,0,8.106348612791532
189,144208052,0,8.106348612791532
190,144210750,0,8.104814781066432
191,144210769,0,8.10269841269841
192,144211757,0,8.10269841269841
193,144204451,0,8.10269841269841
194,144204493,0,8.10269841269841
195,144212603,0,8.10269841269841
196,144204264,0,8.10269841269841
197,144203980,0,8.10269841269841
198,144205769,0,8.10269841269841
199,144207161,0,8.10269841269841
200,144206901,0,8.10269841269841
201,144206439,0,8.10269841269841
202,144206915,0,8.10269841269841
203,144206407,0,8.10269841269841
204,144205664,0,8.10269841269841
205,144206345,0,8.10269841269841
206,144207058,0,8.10269841269841
207,144206263,0,8.10269841269841
208,144205092,0,8.10269841269841
209,144206480,0,8.10269841269841
210,144206545,0,8.10269841269841
211,144206092,0,8.10269841269841
212,144206216,0,8.10269841269841
213,144204988,0,8.10269841269841
214,144206165,0,8.10269841269841
215,144206082,0,8.10269841269841
216,144205817,0,8.102098214285716
217,144205549,0,8.102098214285716
218,144208762,0,8.102098214285716
219,144205575,0,8.102098214285716
220,144205591,0,8.102098214285716
221,144204418,0,8.102098214285716
222,144205958,0,8.102098214285716
223,144206077,0,8.102098214285716
224,144206429,0,8.102098214285716
225,144206356,0,8.102098214285716
226,144212334,0,8.102098214285716
227,144205802,0,8.102098214285716
228,144206143,0,8.102098214285716
229,144206189,0,8.102098214285716
230,144206031,1,8.102098214285716
231,144205749,0,8.102098214285716
232,144203597,0,8.102098214285716
233,144204246,0,8.102098214285716
