rank,cid,label,score
1,24795528,0,7.710818414322249
2,85201582,0,7.624578313253011
3,26660069,0,7.624578313253011
4,85201383,0,7.624578313253011
5,87345601,0,7.624578313253011
6,89855985,0,7.624578313253011
7,85201347,0,7.624578313253011
8,87345587,0,7.624578313253011
9,85305349,0,7.624578313253011
10,858929,0,7.624578313253011
11,24799084,0,7.542473684210526
12,85272567,0,7.542473684210526
13,56315888,0,7.542473684210526
14,85201456,0,7.542473684210526
15,14731292,0,7.542473684210526
16,85201425,0,7.542473684210526
17,85201555,0,7.542473684210526
18,85201249,0,7.542473684210526
19,14746999,0,7.542473684210526
20,14723401,0,7.542473684210526
21,85201610,0,7.542473684210526
22,4245666,0,7.542473684210526
23,124898647,0,7.542473684210526
24,844039,0,7.542473684210526
25,124893167,0,7.542473684210526
26,17506116,0,7.542473684210526
27,49679332,0,7.422195121951218
28,24803558,0,7.422195121951218
29,85201597,0,7.422195121951218
30,14743018,0,7.422195121951218
31,24404747,0,7.407706093189964
32,85201679,0,7.407706093189964
33,49722338,0,7.407706093189964
34,85272403,0,7.407706093189964
35,26671502,0,7.407706093189964
36,56318894,0,7.407706093189964
37,87342640,0,7.407706093189964
38,849595,0,7.407706093189964
39,24275934,0,7.407706093189964
40,56324594,0,7.407706093189964
41,57262995,0,7.407706093189964
42,24798830,0,7.407706093189964
43,17402768,0,7.407706093189964
44,85201645,0,7.407706093189964
45,24838189,0,7.407706093189964
46,26668678,0,7.407706093189964
47,24805304,0,7.407706093189964
48,87336904,0,7.407706093189964
49,17387038,0,7.407706093189964
50,85272390,0,7.407706093189964
51,85201673,0,7.407706093189964
52,87345597,0,7.407706093189964
53,56319875,0,7.407706093189964
54,85201738,0,7.407706093189964
55,87342366,0,7.407706093189964
56,85201733,0,7.407706093189964
57,85201890,0,7.407706093189964
58,4254800,0,7.407706093189964
59,49728589,0,7.407706093189964
60,85201899,0,7.407706093189964
61,17403404,0,7.407706093189964
62,85201621,0,7.407706093189964
63,17516430,0,7.407706093189964
64,24394150,0,7.407706093189964
65,85201384,0,7.407706093189964
66,87336920,0,7.407706093189964
67,85201859,0,7.407706093189964
68,85301986,0,7.407706093189964
69,90341769,0,7.407706093189964
70,842295,0,7.407706093189964
71,14731828,0,7.407706093189964
72,57260577,0,7.407706093189964
73,14726152,0,7.407706093189964
74,87345575,0,7.407706093189964
75,87336613,0,7.407706093189964
76,26724970,0,7.407706093189964
77,22409198,0,7.407706093189964
78,24268491,0,7.407706093189964
79,87345531,0,7.407706093189964
80,24414579,0,7.407706093189964
81,85201656,0,7.407706093189964
82,24416931,0,7.407706093189964
83,85201741,0,7.407706093189964
84,49729272,0,7.407706093189964
85,85201393,0,7.407706093189964
86,49734673,0,7.407706093189964
87,24812928,0,7.407706093189964
88,14723413,0,7.407706093189964
89,85200937,0,7.407706093189964
90,49728498,0,7.407706093189964
91,24276621,0,7.407706093189964
92,87336912,0,7.407706093189964
93,24412892,0,7.407706093189964
94,17387693,0,7.407706093189964
95,14734452,0,7.407706093189964
