rank,cid,label,score
1,24800449,0,7.9278531073446326
2,865281,0,7.9278531073446326
3,26751209,0,7.9278531073446326
4,24799084,0,7.9278531073446326
5,4257483,0,7.861095890410959
6,22407048,0,7.811794871794873
7,26724954,0,7.811794871794873
8,24807582,0,7.811794871794873
9,26753276,0,7.811794871794873
10,14723401,0,7.811794871794873
11,17507065,0,7.811794871794873
12,11533021,0,7.811794871794873
13,14745414,0,7.811794871794873
14,24822695,0,7.811794871794873
15,24811599,0,7.770856715077679
16,17387038,0,7.762411891465234
17,26725053,0,7.720819672131147
18,24798878,0,7.720819672131147
19,56316197,0,7.720819672131147
20,14745217,0,7.720819672131147
21,26751013,0,7.720819672131147
22,24808954,0,7.720819672131147
23,17408592,0,7.720819672131147
24,29216401,0,7.710818414322249
25,24819321,0,7.710818414322249
26,17508850,0,7.710818414322249
27,24780934,0,7.710818414322249
28,14738870,0,7.710818414322249
29,24813373,0,7.710818414322249
30,49730546,0,7.710818414322249
31,17386824,0,7.710818414322249
32,56321427,0,7.710818414322249
33,858929,0,7.710818414322249
34,49714880,0,7.710818414322249
35,49728588,0,7.710818414322249
36,865498,0,7.710818414322249
37,24836083,0,7.710818414322249
38,17512954,0,7.710818414322249
39,49828288,0,7.710818414322249
40,24833040,0,7.710818414322249
41,24783118,0,7.710818414322249
42,26753891,0,7.710818414322249
43,50126022,0,7.710818414322249
44,853705,0,7.710818414322249
45,4264859,0,7.710818414322249
46,49729060,0,7.710818414322249
47,49736794,0,7.710818414322249
48,26657394,0,7.710818414322249
49,49736531,0,7.710818414322249
50,17385444,0,7.710818414322249
51,26659659,0,7.710818414322249
52,56321637,0,7.710818414322249
53,26751225,0,7.710818414322249
54,24780795,0,7.710818414322249
55,24835703,0,7.710818414322249
56,24800216,0,7.710818414322249
57,14742662,0,7.710818414322249
58,4244703,0,7.710818414322249
59,26751241,0,7.640384615384615
60,49733915,0,7.640384615384615
61,56318894,0,7.640384615384615
62,49829053,0,7.640384615384615
63,26725055,0,7.640384615384615
64,49820369,0,7.640384615384615
65,26751219,0,7.624578313253011
66,56325017,0,7.624578313253011
67,26660278,0,7.624578313253011
68,49732556,0,7.624578313253011
69,26725548,0,7.624578313253011
70,17508750,0,7.624578313253011
71,49721520,0,7.624578313253011
72,49817568,0,7.624578313253011
73,26731844,0,7.624578313253011
74,4262851,0,7.624578313253011
75,56319152,0,7.624578313253011
76,864689,0,7.624578313253011
77,24819962,0,7.624578313253011
78,4246827,0,7.624578313253011
79,26663172,0,7.624578313253011
80,22405696,0,7.624578313253011
81,17387693,0,7.624578313253011
82,50086694,0,7.624578313253011
83,4243816,0,7.624578313253011
84,17385153,0,7.624578313253011
85,22408742,0,7.624578313253011
86,845018,0,7.624578313253011
87,57262561,0,7.624578313253011
88,49820941,0,7.624578313253011
89,49722337,0,7.624578313253011
90,49728585,0,7.624578313253011
91,49828856,0,7.624578313253011
92,14722454,0,7.624578313253011
93,24799923,0,7.624578313253011
94,24806832,0,7.624578313253011
95,864043,0,7.624578313253011
96,26661409,0,7.624578313253011
97,847070,0,7.624578313253011
98,850727,0,7.624578313253011
99,26753885,0,7.624578313253011
100,857194,0,7.624578313253011
101,14732005,0,7.624578313253011
102,24836944,0,7.624578313253011
103,11113010,0,7.624578313253011
104,50126108,0,7.624578313253011
105,49828689,0,7.624578313253011
106,49827666,0,7.624578313253011
107,51089971,0,7.624578313253011
108,49824647,0,7.624578313253011
109,24784755,0,7.624578313253011
110,14720946,0,7.624578313253011
111,49819905,0,7.624578313253011
112,11113673,0,7.624578313253011
113,849443,0,7.624578313253011
114,24787547,0,7.624578313253011
115,49735823,0,7.624578313253011
116,857940,0,7.624578313253011
117,56463754,0,7.624578313253011
118,49723255,0,7.624578313253011
119,49717200,0,7.624578313253011
120,56321690,0,7.624578313253011
121,26659595,0,7.624578313253011
122,865352,0,7.624578313253011
123,863470,0,7.624578313253011
124,17401601,0,7.624578313253011
125,4240339,0,7.624578313253011
126,49820066,0,7.624578313253011
127,57266716,0,7.624578313253011
128,56324071,0,7.624578313253011
129,865264,0,7.624578313253011
130,56462885,0,7.624578313253011
131,56462876,0,7.624578313253011
132,22411439,0,7.624578313253011
133,56315733,0,7.624578313253011
134,24822319,0,7.624578313253011
135,11113520,0,7.624578313253011
136,50126070,0,7.624578313253011
137,26661137,0,7.624578313253011
138,17516655,0,7.624578313253011
139,26719751,0,7.624578313253011
140,14727499,0,7.624578313253011
141,4240186,0,7.624578313253011
142,49728382,0,7.624578313253011
143,26747995,0,7.624578313253011
144,49729373,0,7.624578313253011
145,49732431,0,7.624578313253011
146,17385459,0,7.624578313253011
147,49728480,0,7.624578313253011
148,49729966,0,7.624578313253011
149,51090753,0,7.624578313253011
150,49678699,0,7.624578313253011
151,14731045,0,7.624578313253011
152,24782109,0,7.624578313253011
153,24810014,0,7.624578313253011
154,49727468,0,7.624578313253011
155,7969330,0,7.624578313253011
156,49820221,0,7.624578313253011
157,56315706,0,7.624578313253011
158,49819842,0,7.624578313253011
159,863310,0,7.624578313253011
160,842891,0,7.624578313253011
161,49678118,0,7.624578313253011
162,49735493,0,7.624578313253011
163,49734008,0,7.624578313253011
164,860532,0,7.624578313253011
165,49715526,0,7.624578313253011
166,22400973,0,7.624578313253011
167,49729166,0,7.624578313253011
168,49734157,0,7.624578313253011
169,17504793,0,7.624578313253011
170,17514370,0,7.624578313253011
171,50086496,0,7.624578313253011
172,24789321,0,7.624578313253011
173,56320135,0,7.624578313253011
174,11113764,0,7.624578313253011
175,26755992,0,7.624578313253011
176,26750988,0,7.624578313253011
177,49719991,0,7.624578313253011
178,14731828,0,7.624578313253011
179,17414537,0,7.624578313253011
180,17406834,0,7.624578313253011
181,56317027,0,7.624578313253011
182,14744734,0,7.624578313253011
183,49716273,0,7.624578313253011
184,49725414,0,7.624578313253011
185,24823403,0,7.624578313253011
186,22409998,0,7.624578313253011
187,17408550,0,7.624578313253011
188,26756336,0,7.624578313253011
189,24831335,0,7.624578313253011
190,24817435,0,7.624578313253011
191,17401177,0,7.624578313253011
192,3712063,0,7.624578313253011
193,24813107,0,7.624578313253011
194,849756,0,7.624578313253011
