rank,cid,label,score
1,11112147,0,8.154921874999998
2,855721,0,7.624578313253011
3,4246820,0,7.624578313253011
4,24267414,0,7.624578313253011
5,85201359,0,7.542473684210526
6,49730546,0,7.542473684210526
7,85201569,0,7.542473684210526
8,17433120,0,7.542473684210526
9,87349268,0,7.542473684210526
10,24390626,0,7.542473684210526
11,49815811,0,7.542473684210526
12,85201383,0,7.542473684210526
13,14729859,0,7.422195121951218
14,17402769,0,7.422195121951218
15,85201368,0,7.422195121951218
16,85201310,0,7.422195121951218
17,14742662,0,7.422195121951218
18,24813107,0,7.407706093189964
19,24782191,0,7.407706093189964
20,24790044,0,7.407706093189964
21,85201644,0,7.407706093189964
22,90341683,0,7.407706093189964
23,842295,0,7.407706093189964
24,85201289,0,7.407706093189964
25,87345593,0,7.407706093189964
26,24402374,0,7.407706093189964
27,85201578,0,7.407706093189964
28,22401353,0,7.407706093189964
29,87342326,0,7.407706093189964
30,24391616,0,7.407706093189964
31,4259012,0,7.407706093189964
32,7977802,0,7.407706093189964
33,49815763,0,7.407706093189964
34,24790050,0,7.407706093189964
35,85201750,0,7.407706093189964
36,14737278,0,7.407706093189964
37,50125842,0,7.407706093189964
38,85200906,0,7.407706093189964
39,14721106,0,7.407706093189964
40,87349249,0,7.407706093189964
41,85201637,0,7.407706093189964
42,17402768,0,7.407706093189964
43,85201890,0,7.407706093189964
44,85201686,0,7.407706093189964
45,87336741,0,7.407706093189964
46,85201416,0,7.407706093189964
47,17508850,0,7.407706093189964
48,74374083,0,7.407706093189964
49,49722407,0,7.407706093189964
50,24819677,0,7.407706093189964
51,87345595,0,7.407706093189964
52,49724203,0,7.407706093189964
53,24781511,0,7.407706093189964
54,87342357,0,7.407706093189964
55,85201495,0,7.407706093189964
56,862360,0,7.407706093189964
57,4260251,0,7.407706093189964
58,85201732,0,7.407706093189964
59,17506451,0,7.407706093189964
60,87349280,0,7.407706093189964
61,4247848,0,7.407706093189964
62,85201733,0,7.407706093189964
63,850563,0,7.407706093189964
64,14722686,0,7.407706093189964
65,85201314,0,7.407706093189964
66,17512953,0,7.407706093189964
67,7974805,0,7.407706093189964
68,85201527,0,7.407706093189964
69,14722657,0,7.407706093189964
70,85201632,0,7.407706093189964
71,11112969,0,7.407706093189964
72,4248164,0,7.357954545454546
73,24384658,0,7.357954545454546
74,24396720,0,7.357954545454546
75,14722468,0,7.357954545454546
