rank,cid,label,score
1,22416728,0,7.542473684210526
2,17514761,0,7.407706093189964
3,844039,0,7.407706093189964
4,14722697,0,7.407706093189964
5,4245666,0,7.276938775510204
6,22412407,0,7.276938775510204
7,49729060,0,7.276938775510204
8,24796157,0,7.276938775510204
9,14723413,1,7.276938775510204
10,24831335,0,7.24086036671368
11,17508817,0,7.24086036671368
12,49819541,0,7.24086036671368
13,24803934,0,7.24086036671368
14,14722630,0,7.24086036671368
15,4264859,0,7.24086036671368
16,24785296,0,7.24086036671368
17,24794437,0,7.24086036671368
18,24787425,0,7.24086036671368
19,17515717,0,7.24086036671368
20,14728650,0,7.24086036671368
21,22402559,0,7.24086036671368
22,22402831,0,7.24086036671368
23,24819321,0,7.24086036671368
24,14722475,0,7.24086036671368
25,17386936,0,7.24086036671368
26,49726927,0,7.24086036671368
27,853217,0,7.24086036671368
28,51086057,0,7.24086036671368
29,49827916,0,7.24086036671368
30,865498,0,7.24086036671368
31,17386850,0,7.24086036671368
32,4257262,0,7.24086036671368
33,7978445,0,7.24086036671368
34,842969,0,7.24086036671368
35,24809188,0,7.24086036671368
36,49728759,0,7.24086036671368
37,22407048,0,7.24086036671368
38,4257483,0,7.24086036671368
39,26731982,0,7.24086036671368
40,4254800,0,7.24086036671368
41,843671,0,7.24086036671368
42,844701,0,7.24086036671368
43,14727573,0,7.24086036671368
44,49820817,0,7.24086036671368
45,24803596,0,7.24086036671368
46,14742301,0,7.24086036671368
47,24829453,0,7.24086036671368
48,14741061,0,7.24086036671368
49,4257745,0,7.24086036671368
50,4245105,0,7.24086036671368
51,17504875,0,7.24086036671368
52,14723177,0,7.24086036671368
53,49828856,0,7.24086036671368
54,14741588,0,7.24086036671368
55,14722646,0,7.24086036671368
56,24822695,0,7.24086036671368
57,49728764,0,7.24086036671368
58,24708175,0,7.24086036671368
59,24785623,0,7.24086036671368
60,863144,0,7.24086036671368
61,49815811,0,7.24086036671368
62,49725900,0,7.24086036671368
63,862593,0,7.24086036671368
64,24780795,0,7.24086036671368
65,49729628,0,7.24086036671368
66,14742600,0,7.24086036671368
67,851629,0,7.24086036671368
68,849617,0,7.24086036671368
69,852381,0,7.24086036671368
70,3715501,0,7.24086036671368
71,14742662,0,7.24086036671368
72,17408754,0,7.24086036671368
73,49730247,0,7.24086036671368
74,24839085,0,7.24086036671368
75,844921,0,7.24086036671368
76,14736139,0,7.24086036671368
77,24819657,0,7.24086036671368
78,24790050,0,7.24086036671368
79,26753856,0,7.24086036671368
80,49681035,0,7.24086036671368
81,844537,0,7.24086036671368
82,49728183,0,7.24086036671368
83,24833279,0,7.24086036671368
84,49718367,0,7.24086036671368
85,14728630,0,7.23902271950321
86,49828322,0,7.197903225806452
87,851624,0,7.197903225806452
88,49726317,0,7.197903225806452
89,24800176,0,7.197903225806452
90,22405205,0,7.197903225806452
91,14734600,0,7.197903225806452
92,850220,0,7.197903225806452
93,14721719,0,7.197903225806452
94,17387671,0,7.197903225806452
95,14722526,0,7.197903225806452
96,859750,0,7.197903225806452
97,14722905,0,7.197903225806452
98,14729330,0,7.197903225806452
99,49734829,0,7.197903225806452
100,14737984,0,7.197903225806452
101,14742972,0,7.197903225806452
102,14739966,0,7.197903225806452
103,49827666,0,7.197903225806452
104,848093,0,7.180000000000001
105,14722497,0,7.170588235294117
106,49733521,0,7.170588235294117
107,17408936,0,7.170588235294117
108,17388198,0,7.170588235294117
109,49713767,0,7.170588235294117
110,850273,0,7.170588235294117
111,14722641,1,7.170588235294117
112,851643,0,6.988153153153154
113,7966064,0,6.988153153153154
114,864043,0,6.988153153153154
115,22416469,0,6.988153153153154
116,4256730,0,6.988153153153154
117,7967806,0,6.988153153153154
118,14721150,0,6.988153153153154
119,859792,0,6.988153153153154
120,853480,0,6.988153153153154
121,49679234,0,6.988153153153154
122,4249725,0,6.988153153153154
123,26732007,0,6.988153153153154
124,850271,0,6.988153153153154
125,14721457,0,6.988153153153154
126,49728382,0,6.988153153153154
127,22407632,0,6.988153153153154
128,26670461,0,6.988153153153154
129,24823846,0,6.988153153153154
130,7977977,0,6.988153153153154
131,49733741,0,6.988153153153154
132,842160,0,6.988153153153154
133,4255653,0,6.988153153153154
134,49721154,0,6.988153153153154
135,862317,0,6.988153153153154
136,842549,0,6.988153153153154
137,24833254,0,6.988153153153154
138,49713729,0,6.988153153153154
139,865623,0,6.988153153153154
140,17507950,0,6.988153153153154
141,4262316,0,6.988153153153154
142,853457,0,6.988153153153154
143,26753858,0,6.988153153153154
144,851620,0,6.988153153153154
145,17386732,0,6.988153153153154
146,26657394,0,6.988153153153154
147,49818376,0,6.988153153153154
148,24784437,0,6.988153153153154
149,4262140,0,6.988153153153154
150,852316,0,6.988153153153154
151,17508263,0,6.988153153153154
152,853482,0,6.988153153153154
153,14734649,0,6.988153153153154
154,14742509,0,6.988153153153154
155,49729838,0,6.988153153153154
156,22409725,0,6.988153153153154
157,850288,0,6.988153153153154
158,24837829,0,6.988153153153154
159,7965944,0,6.988153153153154
160,24786878,0,6.988153153153154
161,17516447,0,6.988153153153154
162,24807999,0,6.988153153153154
163,49820816,0,6.988153153153154
164,845253,0,6.988153153153154
165,26662989,0,6.988153153153154
166,24780723,0,6.988153153153154
167,14730902,0,6.988153153153154
168,17412353,0,6.988153153153154
169,17511455,0,6.988153153153154
170,49726917,0,6.988153153153154
171,852033,0,6.988153153153154
172,24791535,0,6.988153153153154
173,4252151,0,6.988153153153154
174,17408531,0,6.988153153153154
175,49725399,0,6.988153153153154
176,849821,0,6.988153153153154
177,14721407,0,6.988153153153154
178,17416153,0,6.988153153153154
179,26731836,0,6.988153153153154
180,24822649,0,6.988153153153154
181,49820934,0,6.988153153153154
182,24792482,0,6.988153153153154
183,17506933,0,6.988153153153154
184,848447,0,6.988153153153154
185,24782951,0,6.988153153153154
186,4243964,0,6.942651006711409
187,14744368,0,6.942651006711409
188,24801959,0,6.942651006711409
189,4247336,0,6.942651006711409
190,17414537,0,6.942651006711409
191,7970937,0,6.942651006711409
192,14721515,0,6.942651006711409
193,49718790,0,6.942651006711409
194,22408428,0,6.942651006711409
195,49729886,0,6.942651006711409
196,24783466,0,6.942651006711409
197,17388253,0,6.942651006711409
198,863310,0,6.942651006711409
199,26731986,0,6.942651006711409
200,844521,0,6.942651006711409
201,17506195,0,6.942651006711409
202,14745377,0,6.942651006711409
203,7974088,0,6.942651006711409
204,24817205,0,6.942651006711409
205,4242864,0,6.942651006711409
206,26658218,0,6.942651006711409
207,49727469,0,6.942651006711409
208,14726075,0,6.942651006711409
209,50085727,0,6.942651006711409
210,862702,0,6.942651006711409
211,26753890,0,6.942651006711409
212,49726252,0,6.942651006711409
213,14726561,0,6.942651006711409
214,24822529,0,6.942651006711409
215,49725164,0,6.942651006711409
216,26669779,1,6.942651006711409
217,3716319,0,6.942651006711409
218,49681121,0,6.942651006711409
219,26732042,0,6.942651006711409
220,26664659,0,6.942651006711409
221,7971860,0,6.942651006711409
222,14725375,0,6.942651006711409
223,26753892,0,6.942651006711409
224,848782,0,6.942651006711409
225,14731045,0,6.942651006711409
226,17516807,0,6.942651006711409
227,859909,0,6.942651006711409
228,24779960,0,6.942651006711409
229,26756057,0,6.942651006711409
230,17385449,0,6.942651006711409
231,24833064,0,6.942651006711409
232,17403128,0,6.942651006711409
233,17514058,0,6.942651006711409
234,17515229,0,6.942651006711409
235,14728646,0,6.942651006711409
236,24806149,0,6.942651006711409
237,22400823,0,6.942651006711409
238,24783030,0,6.942651006711409
239,24783324,0,6.942651006711409
240,17506234,0,6.942651006711409
241,49820242,0,6.942651006711409
242,24782743,0,6.942651006711409
