pdb_id,pdb_class
1a30,protease
1bcu,protease
1bzc,hydrolase
1c5z,kinase
1e66,hydrolase
1eby,protease
1g2k,protease
1gpk,hydrolase
1gpn,hydrolase
1h22,hydrolase
1h23,hydrolase
1k1i,protease
1lpg,protease
1mq6,protease
1nc1,hydrolase
1nc3,hydrolase
1nvq,kinase
1o0h,hydrolase
1o3f,kinase
1o5b,protease
1owh,kinase
1oyt,protease
1p1n,other
1p1q,other
1ps3,hydrolase
1pxn,kinase
1q8t,kinase
1q8u,kinase
1qf1,protease
1qkt,nuclear receptor
1r5y,transferase
1s38,transferase
1sqa,kinase
1syi,other
1u1b,hydrolase
1uto,hydrolase
1vso,other
1w4o,hydrolase
1y6r,hydrolase
1yc1,other
1ydr,kinase
1ydt,kinase
1z6e,protease
1z95,nuclear receptor
1z9g,protease
2al5,other
2br1,kinase
2brb,transferase
2c3i,kinase
2cbv,hydrolase
2cet,hydrolase
2fvd,kinase
2fxs,immune/signaling
2hb1,hydrolase
2iwx,immune/signaling
2j78,hydrolase
2j7h,hydrolase
2p15,other
2p4y,nuclear receptor
2pog,nuclear receptor
2qbp,hydrolase
2qbq,hydrolase
2qbr,hydrolase
2qe4,nuclear receptor
2qnq,protease
2r9w,hydrolase
2v00,protease
2v7a,kinase
2vkm,protease
2vvn,hydrolase
2vw5,immune/signaling
2w4x,hydrolase
2w66,hydrolase
2wbg,hydrolase
2wca,hydrolase
2weg,lyase
2wer,immune/signaling
2wn9,transport/binding
2wnc,transport/binding
2wtv,kinase
2wvt,hydrolase
2x00,transport/binding
2xb8,lyase
2xbv,protease
2xdl,immune/signaling
2xii,hydrolase
2xj7,hydrolase
2xnb,transferase
2xys,other
2y5h,protease
2yfe,nuclear receptor
2yge,immune/signaling
2yki,immune/signaling
2ymd,transport/binding
2zb1,kinase
2zcq,transferase
2zcr,transferase
2zda,protease
2zy1,transferase
3acw,kinase
3ag9,kinase
3ao4,transferase
3arp,protease
3arq,protease
3aru,protease
3arv,protease
3ary,protease
3b1m,nuclear receptor
3b27,immune/signaling
3b5r,nuclear receptor
3b65,nuclear receptor
3b68,nuclear receptor
3bgz,kinase
3bv9,protease
3cj4,protease
3coy,ligase
3coz,ligase
3d4z,hydrolase
3d6q,hydrolase
3dd0,lyase
3dx1,nuclear receptor
