pdb_id,deposit_date
11gs,1997-11-03T00:00:00.000+00:00
13gs,1997-11-20T00:00:00.000+00:00
16pk,1998-05-18T00:00:00.000+00:00
184l,1995-04-19T00:00:00.000+00:00
185l,1995-04-19T00:00:00.000+00:00
186l,1995-04-19T00:00:00.000+00:00
187l,1995-04-19T00:00:00.000+00:00
188l,1995-04-19T00:00:00.000+00:00
1a07,1997-12-09T00:00:00.000+00:00
1a08,1997-12-09T00:00:00.000+00:00
1a09,1997-12-10T00:00:00.000+00:00
1a0q,1997-12-05T00:00:00.000+00:00
1a0t,1997-12-08T00:00:00.000+00:00
1a1b,1997-12-10T00:00:00.000+00:00
1a1c,1997-12-10T00:00:00.000+00:00
1a1e,1997-12-10T00:00:00.000+00:00
1a28,1998-01-19T00:00:00.000+00:00
1a2c,1997-12-26T00:00:00.000+00:00
1a37,1998-01-28T00:00:00.000+00:00
1a3e,1998-01-21T00:00:00.000+00:00
1a42,1998-02-10T00:00:00.000+00:00
1a46,1998-02-11T00:00:00.000+00:00
1a4g,1998-01-29T00:00:00.000+00:00
1a4h,1998-01-29T00:00:00.000+00:00
1a4k,1998-01-30T00:00:00.000+00:00
1a4m,1998-01-31T00:00:00.000+00:00
1a4q,1998-01-30T00:00:00.000+00:00
1a4r,1998-02-02T00:00:00.000+00:00
1a4w,1998-02-06T00:00:00.000+00:00
1a52,1998-02-19T00:00:00.000+00:00
1a5g,1998-02-16T00:00:00.000+00:00
1a5h,1998-02-17T00:00:00.000+00:00
1a5v,1998-02-18T00:00:00.000+00:00
1a61,1998-03-05T00:00:00.000+00:00
1a69,1998-03-08T00:00:00.000+00:00
1a7c,1998-03-12T00:00:00.000+00:00
1a7t,1998-03-17T00:00:00.000+00:00
1a85,1998-04-03T00:00:00.000+00:00
1a86,1998-04-03T00:00:00.000+00:00
1a8i,1998-03-25T00:00:00.000+00:00
1a8t,1998-03-23T00:00:00.000+00:00
1a94,1998-04-16T00:00:00.000+00:00
1a99,1998-04-17T00:00:00.000+00:00
